"","statebin_facility","year","hyads","obs","obs_adjust"
"85","Northeast",2017,0.102603102414733,0.345976742554449,3.37199104522175
"86","Northeast",2018,0.107004937253817,0.343299399380902,3.20825756447658
"87","Northeast",2019,0.0808502620752766,0.320742483908185,3.96711743011487
"88","Northeast",2020,0.0676146256409994,0.30312090905987,4.48306717941905
"89","Southcentral",1999,1,1,1
"90","Southcentral",2000,1.25932217529436,1.70682521844232,1.35535230930351
"91","Southcentral",2001,1.15757817731008,1.43421968588554,1.23898300261526
"92","Southcentral",2002,1.58889077702141,1.36599134379071,0.859713810128246
"93","Southcentral",2003,1.39209365217566,1.29075164242965,0.927201729863769
"94","Southcentral",2004,1.38468352056096,1.25095427719354,0.90342252118864
"95","Southcentral",2005,1.67234911346853,1.60705187997033,0.960954783321071
"96","Southcentral",2006,1.14870393670023,1.17035448434681,1.018847804865
"97","Southcentral",2007,1.20857543627109,1.2541770270305,1.03773168756442
"98","Southcentral",2008,0.990833495760757,1.0962255197086,1.10636703785122
"99","Southcentral",2009,0.93220378680421,0.964510901544982,1.03465670832719
"100","Southcentral",2010,0.838844224704327,0.970898927305087,1.15742458338711
"101","Southcentral",2011,0.795140606785958,1.00877649565995,1.26867686928672
"102","Southcentral",2012,0.729867278785362,0.891181707840971,1.22101885335107
"103","Southcentral",2013,0.770582423053285,0.811905830311466,1.05362620015967
"104","Southcentral",2014,0.735187155096441,0.81936849391906,1.11450327748392
"105","Southcentral",2015,0.5275546055038,0.719042312746762,1.36297229755031
"106","Southcentral",2016,0.417483782109167,0.645401564367171,1.54593206257388
"107","Southcentral",2017,0.408928390823365,0.663635189587486,1.62286406246159
"108","Southcentral",2018,0.352377984035212,0.609731879190622,1.73033477349622
"109","Southcentral",2019,0.234320652607907,0.587978230364744,2.50928897568675
"110","Southcentral",2020,0.202449000452935,0.477038995683405,2.35634157054929
"111","Southeast",1999,1,1,1
"112","Southeast",2000,0.829335018856636,1.01949305724789,1.22928977321302
"113","Southeast",2001,0.906804553467337,0.813440843117841,0.89704097758166
"114","Southeast",2002,0.924190024450429,1.02132961620795,1.10510781244937
"115","Southeast",2003,0.873027828823097,0.972003769287945,1.11337088830063
"116","Southeast",2004,0.890907877303478,0.977484129070341,1.09717755782888
"117","Southeast",2005,1.03908723632101,1.04472183650665,1.00542264401744
"118","Southeast",2006,0.94844131371551,0.903483991782923,0.952598730904639
"119","Southeast",2007,0.922261335051237,0.919958809010612,0.99750339090113
"120","Southeast",2008,0.703219989129835,0.728463137854217,1.03589651761125
"121","Southeast",2009,0.508131079464534,0.548316731492004,1.07908520783617
"122","Southeast",2010,0.503995404425488,0.588044231957295,1.1667650672879
"123","Southeast",2011,0.41873289287531,0.554237940271547,1.32360736331404
"124","Southeast",2012,0.269872327919075,0.430526620320055,1.59529738984263
"125","Southeast",2013,0.259623966892315,0.386072093243645,1.48704334913647
"126","Southeast",2014,0.252094327526767,0.400764357913158,1.58973968928597
"127","Southeast",2015,0.15519663922452,0.311964517889451,2.01012418470054
"128","Southeast",2016,0.085432176134687,0.259138718304653,3.03326837766734
"129","Southeast",2017,0.0726214025195264,0.24387750045475,3.3582042207072
"130","Southeast",2018,0.0772388746635665,0.230573052173579,2.98519434906189
"131","Southeast",2019,0.0564628456292737,0.236288705604194,4.18485294127095
"132","Southeast",2020,0.0402305808890741,0.214083016530365,5.3214000841958
"133","West",1999,1,1,1
"134","West",2000,0.820342331372225,1.23925383452718,1.51065450012097
"135","West",2001,0.857851381027077,1.46711079691766,1.71021557972098
"136","West",2002,0.568263685819712,1.47041670130559,2.5875605603489
"137","West",2003,0.581531301732633,1.33079379403638,2.28843020155815
"138","West",2004,0.545196720385133,1.54814233201551,2.83960316364685
"139","West",2005,0.456801532739083,1.55057190425027,3.39441046739204
"140","West",2006,0.373011627771722,1.33673445300566,3.5836267651788
"141","West",2007,0.355786936346105,1.40264122087557,3.94236290764511
"142","West",2008,0.276356815410918,1.33031560449555,4.81376079876117
"143","West",2009,0.283375526324487,1.18746509516533,4.19042925325031
"144","West",2010,0.28358770107037,1.02247384141802,3.60549430584898
"145","West",2011,0.221844723833413,1.08211774328984,4.87781599936727
"146","West",2012,0.199800801299736,1.01800954967826,5.09512245724714
"147","West",2013,0.239945345477774,0.992878268788876,4.13793510689644
"148","West",2014,0.175833951360432,0.913951914463147,5.19781252364449
"149","West",2015,0.182058772029776,0.853985615445447,4.6907139157556
"150","West",2016,0.125883440176808,0.817239117315389,6.49203037482566
"151","West",2017,0.131388862018696,0.800054974015735,6.08921457818767
"152","West",2018,0.122349940293667,0.775846431262415,6.34120809050017
"153","West",2019,0.101947166217903,0.820656051186752,8.04981719092294
"154","West",2020,0.0724429706812183,0.706340471566407,9.75029688766663
