,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
972," ""6204-1""",42.1103,-104.8828,3190.113,4509798.248,5796.789,182.88,9.54024,42.672,288.7055556,59215.45703,77836,137051.457
973," ""6204-2""",42.1103,-104.8828,3867.415,5433271.502,7084.201,182.88,9.54024,42.672,288.7055556,72366.64844,94361.57813,166728.2266
974," ""6204-3""",42.1103,-104.8828,4481.557,5305556.185,6900.163,182.88,8.65632,51.816,290.2055556,70486.66406,109346.1172,179832.7813
975," ""6213-1SG1""",39.0694,-87.5108,6785.294,3115307.206,3424.849,214.5792,5.7912,39.624,312.5944444,77949.86719,227012.9375,304962.8047
976," ""6213-2SG1""",39.0694,-87.5108,8061.46,3949613.164,4383.127,214.5792,5.7912,39.624,312.5944444,99760.36719,269709.125,369469.4922
977," ""6248-1""",40.2217,-103.6803,13072.521,4468643.086,4602.734,167.64,11.024616,73.152,288.7055556,43365.72656,304469.1563,347834.8828
978," ""6249-1""",33.3303,-79.3611,21559.026,2080323.753,928.395,123.1392,6.096,38.1,284.15,14855.79688,420114.2188,434970.0156
979," ""6249-2""",33.3303,-79.3611,11945.755,2364176.674,1140.39,123.1392,6.096,38.1,284.15,18248.05469,232783.2969,251031.3516
980," ""6249-3""",33.3303,-79.3611,4167.578,2072803.183,1248.845,123.1392,4.8768,49.0728,297.0944444,19983.50781,81212.33594,101195.8438
981," ""6249-4""",33.3303,-79.3611,5036.339,2486032.466,1377.489,123.1392,4.8768,49.0728,297.0944444,22042.01563,98141.60938,120183.625
982," ""6250-1A""",36.5278,-78.8917,12931.346,2518644.374,2669.001, NA, NA, NA, NA,58771,364629.5938,423400.5938
983," ""6250-1B""",36.5278,-78.8917,11567.656,2249613.876,2388.655, NA, NA, NA, NA,52597.82813,326177.125,378774.9531
984," ""6254-1""",41.0961,-92.5556,14171.948,4714087.925,7356.035,182.88,7.62,61.8744,305.5859577,179900.6563,459321.3438,639222
985," ""6257-1""",33.0583,-83.8072,18840.636,6259382.3,4919.153,304.8,8.2296,84.7344,297.5944444,91922.88281,646865.25,738788.1328
